5F07T604496;F;07;T;604496; ; ; ; ; ; ; ;
5F07T604569;F;07;T;604569;65A;C;28;20A;32;3;1;
5F07A604626;F;07;A;604626;65A;H;22;22A;33;1;6;
5F07A604688;F;07;A;604688;65A; ; ; ; ; ; ;
5F07C604811;F;07;C;604811; ; ; ; ; ; ; ;
5F08T604933;F;08;T;604933;76A;R;28;20A;35;3;1;
5F07T604993;F;07;T;604993; ; ; ; ; ; ; ;
5F07C604994;F;07;C;604994; ; ; ; ; ; ; ;
5F08T604995;F;08;T;604995; ; ; ; ; ; ; ;
5F07T604999;F;07;T;604999; ; ; ; ; ; ; ;
5F07T605002;F;07;T;605002; ; ; ; ; ; ; ;
5F07T605009;F;07;T;605009; ; ; ; ; ; ; ;
5F07C605018;F;07;C;605018; ; ; ; ; ; ; ;
5F09C605025;F;09;C;605025; ; ; ; ; ; ; ;
5F07C605026;F;07;C;605026; ; ; ; ; ; ; ;
5F07T605034;F;07;T;605034; ; ; ; ; ; ; ;
5F07C605037;F;07;C;605037; ; ; ; ; ; ; ;
5F08A605039;F;08;A;605039; ; ; ; ; ; ; ;
5F09T605052;F;09;T;605052; ; ; ; ; ; ; ;
5F07T605053;F;07;T;605053; ; ; ; ; ; ; ;
5F07T605055;F;07;T;605055; ; ; ; ; ; ; ;
5F07T605056;F;07;T;605056; ; ; ; ; ; ; ;
5F07T605079;F;07;T;605079; ; ; ; ; ; ; ;
5F07T605102;F;07;T;605102; ; ; ; ; ; ; ;
5F07C605105;F;07;C;605105; ; ; ; ; ; ; ;
5F07T605134;F;07;T;605134;65A;R;26; ;43; ;6;
5F07T605169;F;07;T;605169; ; ; ; ; ; ; ;
5F07T605193;F;07;T;605193; ; ; ; ; ; ; ;
5F09C605234;F;09;C;605234; ; ; ; ; ; ; ;
5F09C605243;F;09;C;605243;63A;J;25;21A;61;6;6;
5F07T605269;F;07;T;605269; ; ; ; ; ; ; ;
5F07C605294;F;07;C;605294;65A; ; ; ; ; ; ;
5F07T605345;F;07;T;605345;65A;H;22;20A;63;3;1;
5F08T605383;F;08;T;605383;76A;O;D6;20A;64;2;6;
5F09C605404;F;09;C;605404; ; ; ; ; ; ; ;
5F07C605452;F;07;C;605452; ; ; ; ; ; ; ;
5F08C605553;F;08;C;605553;76A;Y;D7;20A;91;1;1;
5F08C605568;F;08;C;605568; ; ; ; ; ; ; ;
5F09T605606;F;09;T;605606; ; ; ; ; ; ; ;
5F07C605638;F;07;C;605638; ; ; ; ; ; ; ;
5F08C605717;F;08;C;605717;76A; ; ; ; ; ; ;
5F07T605729;F;07;T;605729; ; ; ; ; ; ; ;
5F09C605815;F;09;C;605815;63A;R;28;22A;15;F;5;
5F09C605823;F;09;C;605823; ; ; ; ; ; ; ;
5F09C605920;F;09;C;605920;63B;M; ;22A; ; ; ;
5F07C606059;F;07;C;606059; ; ; ; ; ; ; ;
5F07C606067;F;07;C;606067; ; ; ; ; ; ; ;
5F07C606150;F;07;C;606150; ; ; ; ; ; ; ;
5F07C606196;F;07;C;606196;65A; ; ; ; ; ; ;
5F08A606279;F;08;A;606279; ; ; ; ; ; ; ;
5F09C606326;F;09;C;606326;63A;J;26;22A;26;6;5;
5F09A606432;F;09;A;606432;63A;3;26;25A;31;A;5;
5F07C606467;F;07;C;606467;65A; ; ; ; ; ; ;
5F08A606473;F;08;A;606473;76A;3;26;26A;31;1;5;
5F07C606666;F;07;C;606666; ; ; ; ; ; ; ;
5F07C606695;F;07;C;606695; ; ; ; ; ; ; ;
5F08C606813;F;08;C;606813;76A; ; ; ; ; ; ;
5F08C606835;F;08;C;606835; ; ; ; ; ; ; ;
5F09C606836;F;09;C;606836; ; ; ; ; ; ; ;
5F09A606901;F;09;A;606901; ; ; ; ; ; ; ;
5F07C606902;F;07;C;606902; ; ; ; ; ; ; ;
5F07T606911;F;07;T;606911; ; ; ; ; ; ; ;
5F07T606914;F;07;T;606914; ; ; ; ; ; ; ;
5F07C606919;F;07;C;606919; ; ; ; ; ; ; ;
5F07C606922;F;07;C;606922; ; ; ; ; ; ; ;
5F07T606938;F;07;T;606938; ; ; ; ; ; ; ;
5F07T606943;F;07;T;606943; ; ; ; ; ; ; ;
5F07T606991;F;07;T;606991; ; ; ; ; ; ; ;
5F09C606995;F;09;C;606995; ; ; ; ; ; ; ;
5F07T607000;F;07;T;607000; ; ; ; ; ; ; ;
5F08C607017;F;08;C;607017; ; ; ; ; ; ; ;
5F07C607051;F;07;C;607051; ; ; ; ; ; ; ;
5F09C607055;F;09;C;607055; ; ; ; ; ; ; ;
5F07T607058;F;07;T;607058; ; ; ; ; ; ; ;
5F07C607060;F;07;C;607060; ; ; ; ; ; ; ;
5F07C607061;F;07;C;607061; ; ; ; ; ; ; ;
5F07T607063;F;07;T;607063;65A;K;26;21A;54;3;1;
5F09A607078;F;09;A;607078;63A;3;76;22A;55;1;1;
5F07A607084;F;07;A;607084; ; ; ; ; ; ; ;
5F09C607091;F;09;C;607091;63A;7;26;22A;55;6;1;
5F09A607102;F;09;A;607102; ; ; ; ; ; ; ;
5F09C607147;F;09;C;607147;63A;Y;22;22A;61;6;6;
5F07C607171;F;07;C;607171;65A; ; ; ; ; ; ;
5F07C607217;F;07;C;607217;65A;Y;22;21A;63;6;5;
5F07C607317;F;07;C;607317;65A;A;25;20A;64;6;5;
5F07C607361;F;07;C;607361;65A;Y;22;22A;65;6;6;
5F08C607418;F;08;C;607418; ; ; ; ; ; ; ;
5F09T607549;F;09;T;607549;63A;Y;22;22A;11;3;1;
5F07C607631;F;07;C;607631;65A; ; ; ; ; ; ;
5F09T607859;F;09;T;607859; ; ; ; ; ; ; ;
5F07T607862;F;07;T;607862;65A; ; ;25A;22; ; ;
5F09C607913;F;09;C;607913; ; ; ; ; ; ; ;
5F07A607915;F;07;A;607915;65A; ; ;22A; ; ; ;
5F07C607961;F;07;C;607961; ; ; ; ; ; ; ;
5F09C608049;F;09;C;608049;63A;M;25;23A;26;6;6;
5F07A608125;F;07;A;608125;65A; ; ; ; ; ; ;
5F07C608213;F;07;C;608213; ; ; ; ; ; ; ;
5F07T608242;F;07;T;608242; ; ; ; ; ; ; ;
5F07T608247;F;07;T;608247;65A;M;22;23A;41;2;6;
5F09T608248;F;09;T;608248;63A;J;26;23A;41;2;6;
5F09C608272;F;09;C;608272; ; ; ; ; ; ; ;
5F09C608281;F;09;C;608281; ; ; ; ; ; ; ;
5F07C608298;F;07;C;608298; ; ; ; ; ; ; ;
5F07C608306;F;07;C;608306; ; ; ; ; ; ; ;
5F09C608314;F;09;C;608314; ; ; ; ; ; ; ;
5F07T608348;F;07;T;608348; ; ; ; ; ; ; ;
5F07C608353;F;07;C;608353; ; ; ; ; ; ; ;
5F07A608354;F;07;A;608354; ; ; ; ; ; ; ;
5F07C608356;F;07;C;608356; ; ; ; ; ; ; ;
5F09C608357;F;09;C;608357; ; ; ; ; ; ; ;
5F09C608358;F;09;C;608358; ; ; ; ; ; ; ;
5F08T608363;F;08;T;608363; ; ; ; ; ; ; ;
5F07T608365;F;07;T;608365; ; ; ; ; ; ; ;
5F07T608366;F;07;T;608366; ; ; ; ; ; ; ;
5F07C608367;F;07;C;608367; ; ; ; ; ; ; ;
5F09C608369;F;09;C;608369; ; ; ; ; ; ; ;
5F07T608372;F;07;T;608372;65A;7;26;22A;52;3;1;
5F07T608373;F;07;T;608373; ; ; ; ; ; ; ;
5F09K608374;F;09;K;608374; ; ; ; ; ; ; ;
5F07T608375;F;07;T;608375; ; ; ; ; ; ; ;
5F07T608377;F;07;T;608377; ; ; ; ; ; ; ;
5F08C608382;F;08;C;608382; ; ; ; ; ; ; ;
5F08C608383;F;08;C;608383; ; ; ; ; ; ; ;
5F07T608405;F;07;T;608405; ; ; ; ; ; ; ;
5F07T608414;F;07;T;608414; ; ; ; ; ; ; ;
5F07T608421;F;07;T;608421; ; ; ; ; ; ; ;
5F07C608436;F;07;C;608436;65A;X;26;23A;55;6;6;
5F07T608445;F;07;T;608445;65A;7;26;23A;55;3;1;
5F09C608446;F;09;C;608446; ; ; ; ; ; ; ;
5F08C608452;F;08;C;608452;76A; ; ; ; ; ; ;
5F07C608464;F;07;C;608464;65A;Y;26;22A;61;6;6;
5F07C608492;F;07;C;608492;65A; ; ; ; ; ; ;
5F09A608497;F;09;A;608497; ; ; ; ; ; ; ;
5F08A608637;F;08;A;608637;76A; ; ; ; ; ; ;
5F08T608748;F;08;T;608748;76A;Q;28;23A;11;2;6;
5F07T608849;F;07;T;608849;65A;I;26;25A;14;2;6;
5F09C608956;F;09;C;608956;63A;M;26;22A;21;6;6;
5F07T608982;F;07;T;608982;65A;Y;62; ; ;1; ;
5F09C609000;F;09;C;609000;63A;J;76;22A;22;5;5;
5F07C609013;F;07;C;609013;65A;Y;22;25A;23;F;6;
5F09C609022;F;09;C;609022;63A;Y;22;25A;23;6;1;
5F09C609110;F;09;C;609110;63A; ;22;25A;24;6;6;
5F07A609120;F;07;A;609120;65A; ; ; ; ; ; ;
5F09C609128;F;09;C;609128;63A;M;26;25A;24;6;6;
5F09C609129;F;09;C;609129;63A;J;D5;25A;24;6;6;
5F08C609179;F;08;C;609179;76A;5;26;23A;25;6;6;
5F07C609222;F;07;C;609222;65A;M;25;25A;26;6;5;
5F07C609309;F;07;C;609309;65A; ; ; ; ; ; ;
5F07A609339;F;07;A;609339; ; ; ; ; ; ; ;
5F08T609357;F;08;T;609357; ; ; ; ; ; ; ;
5F08C609421;F;08;C;609421;76A; ; ; ; ; ; ;
5F07T609491;F;07;T;609491;65A;D;26;26A;33;2;6;
5F09A609540;F;09;A;609540; ; ; ; ; ; ; ;
5F09T609565;F;09;T;609565; ; ; ; ; ; ; ;
5F08C609578;F;08;C;609578;76A;R;28;23A;35;6;6;
5F07T609633;F;07;T;609633; ; ; ; ; ; ; ;
5F09T609634;F;09;T;609634; ; ; ; ; ; ; ;
5F07T609698;F;07;T;609698; ; ; ; ; ; ; ;
5F07T609706;F;07;T;609706; ; ; ; ; ; ; ;
5F07T609709;F;07;T;609709; ; ; ; ; ; ; ;
5F07T609719;F;07;T;609719; ; ; ; ; ; ; ;
5F07T609720;F;07;T;609720; ; ; ; ; ; ; ;
5F09C609722;F;09;C;609722; ; ; ; ; ; ; ;
5F09K609723;F;09;K;609723; ; ; ; ; ; ; ;
5F07T609726;F;07;T;609726; ; ; ; ; ; ; ;
5F07A609730;F;07;A;609730; ; ; ; ; ; ; ;
5F07C609740;F;07;C;609740;65A; ; ; ; ; ; ;
5F07T609753;F;07;T;609753; ; ; ; ; ; ; ;
5F07C609754;F;07;C;609754; ; ; ; ; ; ; ;
5F09A609768;F;09;A;609768; ; ; ; ; ; ; ;
5F09A609792;F;09;A;609792; ; ; ; ; ; ; ;
5F07C609813;F;07;C;609813;65A;M;25;25A;55;6;6;
5F07T609925;F;07;T;609925; ; ; ; ; ; ; ;
5F07C609953;F;07;C;609953; ; ; ; ; ; ; ;
5F09K609960;F;09;K;609960;63A;H;22;25A;64;5;5;
5F09K610026;F;09;K;610026;63A;A;76;25A;81;8;5;
5F09A610041;F;09;A;610041;63A;M;26;26A;91;1;6;
5F09C610042;F;09;C;610042;63A;5;26;25A;91;6;1;
5F09A610043;F;09;A;610043;63A;J;25;25A;91;1;5;
5F07C610098;F;07;C;610098; ; ; ; ; ; ; ;
5F07T610106;F;07;T;610106;65A;H;22;25A;91;2;6;
5F08A610111;F;08;A;610111;76A; ; ; ; ; ; ;
5F08T610232;F;08;T;610232; ; ; ; ; ; ; ;
5F07C610287;F;07;C;610287;65A; ; ; ; ; ; ;
5F08C610397;F;08;C;610397; ; ; ; ; ; ; ;
5F07C610449;F;07;C;610449;65A; ;26;26A; ; ;6;
5F07A610495;F;07;A;610495;65A; ; ; ; ; ; ;
5F09A610621;F;09;A;610621; ; ; ; ; ; ; ;
5F09C610651;F;09;C;610651; ; ; ; ; ; ; ;
5F09C610666;F;09;C;610666;63A;H;22;26A;24;6;1;
5F07T610944;F;07;T;610944; ; ; ; ; ; ; ;
5F07T610970;F;07;T;610970; ; ; ; ; ; ; ;
5F07T610977;F;07;T;610977; ; ; ; ; ; ; ;
5F09C610993;F;09;C;610993; ; ; ; ; ; ; ;
5F09T611017;F;09;T;611017; ; ; ; ; ; ; ;
5F09C611030;F;09;C;611030; ; ; ; ; ; ; ;
5F08C611031;F;08;C;611031; ; ; ; ; ; ; ;
5F07C611040;F;07;C;611040; ; ; ; ; ; ; ;
5F07C611041;F;07;C;611041; ; ; ; ; ; ; ;
5F07T611054;F;07;T;611054; ; ; ; ; ; ; ;
5F07T611062;F;07;T;611062; ; ; ; ; ; ; ;
5F07T611066;F;07;T;611066; ; ; ; ; ; ; ;
5F07T611069;F;07;T;611069; ; ; ; ; ; ; ;
5F07T611082;F;07;T;611082;65A;Y;22;26A;45;2;6;
5F07T611086;F;07;T;611086; ; ; ; ; ; ; ;
5F07T611087;F;07;T;611087; ; ; ; ; ; ; ;
5F07C611105;F;07;C;611105;65A;J;25;26A;54;6;6;
5F07C611108;F;07;C;611108; ; ; ; ; ; ; ;
5F07T611116;F;07;T;611116; ; ; ; ; ; ; ;
5F07C611129;F;07;C;611129;65A; ; ; ; ; ; ;
5F09C611137;F;09;C;611137; ; ; ; ; ; ; ;
5F07C611160;F;07;C;611160;65A; ; ; ; ; ; ;
5F09C611454;F;09;C;611454; ; ; ; ; ; ; ;
5F07A611547;F;07;A;611547;65A;M;25;28A;910349;1;5;
5F09C611563;F;09;C;611563; ; ; ; ; ; ; ;
5F07C611828;F;07;C;611828;65A;5;26;25A;21;6;5;
5F09C611878;F;09;C;611878; ; ; ; ; ; ; ;
5F09A611883;F;09;A;611883; ; ; ; ; ; ; ;
5F08C612175;F;08;C;612175;76A;P;29; ; ; ;6;
5F08K612240;F;08;K;612240;76A;H;D2;29A;31;5;5;
5F07C612360;F;07;C;612360;65A; ; ; ; ; ; ;
5F07T612391;F;07;T;612391;65A; ; ;27A;34; ; ;
5F07T612406;F;07;T;612406;65A;P29;27A;34; ;2;6;
5F07C612444;F;07;C;612444; ; ; ; ; ; ; ;
5F07C612469;F;07;C;612469; ; ; ; ; ; ; ;
5F07T612500;F;07;T;612500; ; ; ; ; ; ; ;
5F07T612502;F;07;T;612502; ; ; ; ; ; ; ;
5F07C612512;F;07;C;612512; ; ; ; ; ; ; ;
5F07T612517;F;07;T;612517;65A;X;26;27A;43;3;1;
5F07T612519;F;07;T;612519; ; ; ; ; ; ; ;
5F07A612521;F;07;A;612521;65A;H;22;26A;43;A;5;
5F09C612524;F;09;C;612524; ; ; ; ; ; ; ;
5F07C612526;F;07;C;612526; ; ; ; ; ; ; ;
5F09A612530;F;09;A;612530; ; ; ; ; ; ; ;
5F07T612535;F;07;T;612535; ; ; ; ; ; ; ;
5F07T612536;F;07;T;612536; ; ; ; ; ; ; ;
5F08C612544;F;08;C;612544;76A;M;28;27A;44;6;6;
5F07C612554;F;07;C;612554; ; ; ; ; ; ; ;
5F07T612560;F;07;T;612560; ; ; ; ; ; ; ;
5F07T612570;F;07;T;612570; ; ; ; ; ; ; ;
5F07T612574;F;07;T;612574; ; ; ; ; ; ; ;
5F07T612577;F;07;T;612577; ; ; ; ; ; ; ;
5F07T612579;F;07;T;612579; ; ; ; ; ; ; ;
5F08T612580;F;08;T;612580;76A;X;26;28A;45;3;1;
5F08T612584;F;08;T;612584; ; ; ; ; ; ; ;
5F08T612585;F;08;T;612585; ; ; ; ; ; ; ;
5F07T612587;F;07;T;612587; ; ; ; ; ; ; ;
5F07T612588;F;07;T;612588; ; ; ; ; ; ; ;
5F07T612589;F;07;T;612589; ; ; ; ; ; ; ;
5F08T612593;F;08;T;612593; ; ; ; ; ; ; ;
5F07T612595;F;07;T;612595; ; ; ; ; ; ; ;
5F07T612596;F;07;T;612596; ; ; ; ; ; ; ;
5F07T612598;F;07;T;612598; ; ; ; ; ; ; ;
5F07T612599;F;07;T;612599; ; ; ; ; ; ; ;
5F07C612636;F;07;C;612636; ; ; ; ; ; ; ;
5F07A612648;F;07;A;612648; ; ; ; ; ; ; ;
5F09C612702;F;09;C;612702; ; ; ; ; ; ; ;
5F08A612715;F;08;A;612715;76A; ; ; ; ; ; ;
5F09C612785;F;09;C;612785; ; ; ; ; ; ; ;
5F07T612896;F;07;T;612896; ; ; ; ; ; ; ;
5F09C612996;F;09;C;612996;63A;O;D2;27A;91;6;6;
5F09C613126;F;09;C;613126;63A;R;26; ; ; ;5;
5F07T613197;F;07;T;613197;65A;7;26;28A; ;2;6;
5F07C613201;F;07;C;613201;65A;A;25;28A;13;6;6;
5F07C613269;F;07;C;613269;65A; ; ; ; ; ; ;
5F07T613479;F;07;T;613479; ; ; ; ; ; ; ;
5F07C613556;F;07;C;613556;65A;J;D5;29A;22;6;5;
5F07C613624;F;07;C;613624;65A;H;22;28A;23;6;6;
5F08C613628;F;08;C;613628; ;A; ; ; ; ; ;
5F08C613630;F;08;C;613630;76A; ; ; ; ; ; ;
5F09A613794;F;09;A;613794; ; ; ; ; ; ; ;
5F07T613902;F;07;T;613902; ; ; ; ; ; ; ;
5F08C613913;F;08;C;613913;76A;P;26;28A;26;6;6;
5F07T613928;F;07;T;613928;65A;H;D2;28A;26;2;6;
5F09C613938;F;09;C;613938; ; ; ; ; ; ; ;
5F07T614008;F;07;T;614008; ; ; ; ; ; ; ;
5F07C614010;F;07;C;614010;65A;J;25;29A;34;6;6;
5F07A614019;F;07;A;614019;65A; ; ; ; ; ; ;
5F07T614032;F;07;T;614032; ; ; ; ; ; ; ;
5F07C614035;F;07;C;614035;65A;K;D6;28A;34;6;6;
5F07C614044;F;07;C;614044;65A; ; ; ; ; ; ;
5F07A614085;F;07;A;614085;65A;O;D6;29A;34;1;5;
5F08T614099;F;08;T;614099; ; ; ; ; ; ; ;
5F08A614233;F;08;A;614233;76A;X;D6;29A;36;1;6;
5F07T614278;F;07;T;614278; ; ; ; ; ; ; ;
5F07T614293;F;07;T;614293; ; ; ; ; ; ; ;
5F07C614295;F;07;C;614295; ; ; ; ; ; ; ;
5F07C614312;F;07;C;614312; ; ; ; ; ; ; ;
5F07T614313;F;07;T;614313; ; ; ; ; ; ; ;
5F07T614335;F;07;T;614335; ; ; ; ; ; ; ;
5F09C614352;F;09;C;614352; ; ; ; ; ; ; ;
5F07A614375;F;07;A;614375; ; ; ; ; ; ; ;
5F07T614397;F;07;T;614397; ; ; ; ; ; ; ;
5F07T614399;F;07;T;614399; ; ; ; ; ; ; ;
5F07T614400;F;07;T;614400; ; ; ; ; ; ; ;
5F07T614401;F;07;T;614401; ; ; ; ; ; ; ;
5F07T614406;F;07;T;614406; ; ; ; ; ; ; ;
5F09T614408;F;09;T;614408; ; ; ; ; ; ; ;
5F07C614462;F;07;C;614462; ; ; ; ; ; ; ;
5F08T614469;F;08;T;614469; ; ; ; ; ; ; ;
5F09C614476;F;09;C;614476; ; ; ; ; ; ; ;
5F09C614478;F;09;C;614478; ; ; ; ; ; ; ;
5F09A614518;F;09;A;614518;63A;M;28;29A;55;1;6;
5F07C614665;F;07;C;614665; ; ; ; ; ; ; ;
5F08T614786;F;08;T;614786;76A;H; ;28A; ; ; ;
5F07C614914;F;07;C;614914; ; ; ; ; ; ; ;
5F07C615117;F;07;C;615117; ; ; ; ; ; ; ;
5F09A615160;F;09;A;615160; ; ; ; ; ; ; ;
5F07C615217;F;07;C;615217;65A;P;26;30A;15;6;6;
5F07T615244;F;07;T;615244;65A;H;22;28A;21;3;1;
5F09T615278;F;09;T;615278; ; ; ;28A;21; ; ;
5F07A615328;F;07;A;615328; ; ; ; ; ; ; ;
5F07C615368;F;07;C;615368;65A; ; ; ; ; ; ;
5F08C615458;F;08;C;615458;76A;C;D8;29A;26;6;6;
5F07T615537;F;07;T;615537;65A;3;D6;03B;31;2;6;
5F09C615756;F;09;C;615756; ; ; ; ; ; ; ;
5F07T615917;F;07;T;615917; ; ; ; ; ; ; ;
5F07T615948;F;07;T;615948; ; ; ; ; ; ; ;
5F07T615965;F;07;T;615965;65A;H;22;28A;41;2;6;
5F07C615966;F;07;C;615966;65A;H;D2;30A;41;6;6;
5F07T615967;F;07;T;615967; ; ; ; ; ; ; ;
5F07T615999;F;07;T;615999; ; ; ; ; ; ; ;
5F07C616044;F;07;C;616044; ; ; ; ; ; ; ;
5F07T616049;F;07;T;616049; ; ; ; ; ; ; ;
5F09C616052;F;09;C;616052; ; ; ; ; ; ; ;
5F07T616054;F;07;T;616054; ; ; ; ; ; ; ;
5F07T616056;F;07;T;616056; ; ; ; ; ; ; ;
5F09C616060;F;09;C;616060; ; ; ; ; ; ; ;
5F07T616069;F;07;T;616069; ; ; ; ; ; ; ;
5F07T616079;F;07;T;616079; ; ; ; ; ; ; ;
5F07C616081;F;07;C;616081; ; ; ; ; ; ; ;
5F07T616096;F;07;T;616096; ; ; ; ; ; ; ;
5F08A616110;F;08;A;616110; ; ; ; ; ; ; ;
5F09C616113;F;09;C;616113; ; ; ; ; ; ; ;
5F07T616114;F;07;T;616114; ; ; ; ; ; ; ;
5F09C616115;F;09;C;616115; ; ; ; ; ; ; ;
5F09A616116;F;09;A;616116; ; ; ; ; ; ; ;
5F09A616117;F;09;A;616117; ; ; ; ; ; ; ;
5F09C616118;F;09;C;616118; ; ; ; ; ; ; ;
5F07T616134;F;07;T;616134; ; ; ; ; ; ; ;
5F09C616155;F;09;C;616155; ; ; ; ; ; ; ;
5F07T616158;F;07;T;616158; ; ; ; ; ; ; ;
5F09T616170;F;09;T;616170; ; ; ; ; ; ; ;
5F07C616189;F;07;C;616189; ; ; ; ; ; ; ;
5F07T616200;F;07;T;616200; ; ; ; ; ; ; ;
5F09C616326;F;09;C;616326; ; ; ; ; ; ; ;
5F09C616329;F;09;C;616329; ; ; ;30A;61; ; ;
5F09T616332;F;09;T;616332; ; ; ; ; ; ; ;
5F07A616348;F;07;A;616348;65A; ; ; ; ; ; ;
5F07C616358;F;07;C;616358;65A;J;25;30A;63;6;6;
5F07T616484;F;07;T;616484; ; ; ; ; ; ; ;
5F08T616530;F;08;T;616530;65N;K;26;22M;21;6;6;
5F09C616541;F;09;C;616541; ; ; ; ; ; ; ;
5F07C616609;F;07;C;616609;65A;X;29;29A;11; ; ;
5F09A616615;F;09;A;616615;65A;R;D8;29A;11;1;5;
5F09A616618;F;09;A;616618;63A;3;26; ; ; ;1;
5F08T616675;F;08;T;616675;76A;3;D6;01B;12;2;6;
5F07C616677;F;07;C;616677;65A;R;28;01B;12;6;6;
5F07C616773;F;07;C;616773;65A;A;25;01B;13;6;6;
5F07T616821;F;07;T;616821; ; ; ; ; ; ; ;
5F08C616963;F;08;C;616963;76A; ; ; ; ; ; ;
5F07T616983;F;07;T;616983;65A;J;23;01B;22;3;1;
5F09A616990;F;09;A;616990; ; ; ; ; ; ; ;
5F08C617032;F;08;C;617032;76A;R;26;01B;23;6;1;
5F09C617042;F;09;C;617042;63A;R;26;01B;23;F;5;
5F08T617069;F;08;T;617069;76C;J;26;01B;23;1;6;
5F07C617111;F;07;C;617111;65A; ; ; ; ; ; ;
5F07C617202;F;07;C;617202;65A; ; ; ; ; ; ;
5F07C617257;F;07;C;617257;65A; ; ; ; ; ; ;
5F08C617429;F;08;C;617429; ; ; ; ; ; ; ;
5F08C617455;F;08;C;617455;76A;M;26;01B;33;6;6;
5F07C617541;F;07;C;617541;65A;A;26;01B;35;6;5;
5F07C617568;F;07;C;617568; ; ; ; ; ; ; ;
5F08K617591;F;08;K;617591;76A;H;22;26A;36;8;5;
5F08C617668;F;08;C;617668; ; ; ; ; ; ; ;
5F09T617692;F;09;T;617692; ; ; ; ; ; ; ;
5F08T617717;F;08;T;617717; ; ; ; ; ; ; ;
5F08T617719;F;08;T;617719; ; ; ; ; ; ; ;
5F07T617727;F;07;T;617727;63A;M;22;02B;41;3;1;
5F07T617741;F;07;T;617741; ; ; ; ; ; ; ;
5F07T617759;F;07;T;617759; ; ; ; ; ; ; ;
5F07C617770;F;07;C;617770;65A; ; ; ; ; ; ;
5F08A617804;F;08;A;617804;76A; ; ; ; ; ; ;
5F07T617812;F;07;T;617812; ; ; ; ; ; ; ;
5F07T617867;F;07;T;617867; ; ; ; ; ; ; ;
5F09A617869;F;09;A;617869;63A;C;28;03B; ; ;6;
5F09C617891;F;09;C;617891; ; ; ; ; ; ; ;
5F07T617900;F;07;T;617900; ; ; ; ; ; ; ;
5F07C617908;F;07;C;617908; ; ; ; ; ; ; ;
5F08T617910;F;08;T;617910; ; ; ; ; ; ; ;
5F07T617914;F;07;T;617914; ; ; ; ; ; ; ;
5F07T617916;F;07;T;617916; ; ; ; ; ; ; ;
5F09C617919;F;09;C;617919; ; ; ; ; ; ; ;
5F07T617936;F;07;T;617936; ; ; ; ; ; ; ;
5F07C617944;F;07;C;617944; ; ; ; ; ; ; ;
5F09A617947;F;09;A;617947; ; ; ; ; ; ; ;
5F07C617948;F;07;C;617948; ; ; ; ; ; ; ;
5F07T617949;F;07;T;617949; ; ; ; ; ; ; ;
5F07T617951;F;07;T;617951; ; ; ; ; ; ; ;
5F08C617966;F;08;C;617966; ; ; ; ; ; ; ;
5F07A617971;F;07;A;617971; ; ; ; ; ; ; ;
5F07A617974;F;07;A;617974; ; ; ; ; ; ; ;
5F07A617975;F;07;A;617975; ; ; ; ; ; ; ;
5F09C617984;F;09;C;617984; ; ; ; ; ; ; ;
5F08C617985;F;08;C;617985; ; ; ; ; ; ; ;
5F08C617986;F;08;C;617986; ; ; ; ; ; ; ;
5F09A618019;F;09;A;618019; ; ; ; ; ; ; ;
5F07A618021;F;07;A;618021;65A; ; ; ; ; ; ;
5F07C618050;F;07;C;618050; ; ; ; ; ; ; ;
5F07T618052;F;07;T;618052; ; ; ; ; ; ; ;
5F07C618053;F;07;C;618053; ; ; ; ; ; ; ;
5F07C618056;F;07;C;618056; ; ; ; ; ; ; ;
5F08C618077;F;08;C;618077;76A;H;22;01B;55;6;1;
5F07C618143;F;07;C;618143; ; ; ; ; ; ; ;
5F07C618158;F;07;C;618158; ; ; ; ; ; ; ;
5F07C618220;F;07;C;618220;65A;Y;22;01B;64;6;6;
5F07C618225;F;07;C;618225; ; ; ; ; ; ; ;
5F09T618237;F;09;T;618237; ; ; ; ; ; ; ;
5F07T618274;F;07;T;618274; ; ; ; ; ; ; ;
5F09A618430;F;09;A;618430; ; ; ; ; ; ; ;
5F08T618432;F;08;T;618432; ; ; ; ; ; ; ;
5F08C618517;F;08;C;618517; ; ; ; ; ; ; ;
5F07C618651;F;07;C;618651; ; ; ; ; ; ; ;
5F09C618660;F;09;C;618660; ; ; ; ; ; ; ;
5F07C618681;F;07;C;618681;65A; ; ; ;28;2;1;
5F07C618866;F;07;C;618866;65A;3;26;02B;25;6;6;
5F08T618881;F;08;T;618881;76A;R;26;02B;26;2;6;
5F09C618898;F;09;C;618898;63A;A;25;02B;26;6;6;
5F07C618907;F;07;C;618907;65A;M;26;02B;26;6;6;
5F09A618934;F;09;A;618934;63A;O;26;02B;26;1;5;
5F09C618940;F;09;C;618940; ; ; ; ; ; ; ;
5F08C618949;F;08;C;618949;76A; ; ; ; ; ; ;
5F09A619076;F;09;A;619076; ; ; ; ; ; ; ;
5F07C619350;F;07;C;619350;65A;M;26;02B;44;6;6;
5F08C619387;F;08;C;619387; ; ; ; ; ; ; ;
5F09C619410;F;09;C;619410; ; ; ; ; ; ; ;
5F07C619457;F;07;C;619457; ; ; ; ; ; ; ;
5F09C619462;F;09;C;619462; ; ; ; ; ; ; ;
5F07T619470;F;07;T;619470; ; ; ; ; ; ; ;
5F07T619480;F;07;T;619480; ; ; ; ; ; ; ;
5F08T619486;F;08;T;619486; ; ; ; ; ; ; ;
5F07C619504;F;07;C;619504; ; ; ; ; ; ; ;
